id,id_grupo,texto_usuario,clase_objetivo,pred_c1,correct_c1,in_top3_c1,conf_c1,macro_sistema,pred_macro_fix,macro_correct
F10-L10-0082,G-10-56-02,Tengo que tirar la puerta con muchisima fuerza para que enganche la traba.,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado","Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,True,0.7485,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L10-0089,G-10-56-09,Jalo la palanquita interior para salir y no destraba la puerta.,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado","Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",1,True,0.7883,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L10-0122,G-10-57-02,Se escucho un golpe seco dentro de la puerta y la luna se cayo sola.,Elevalunas electrico o guaya de alzacristales rota o trabada,Elevalunas electrico o guaya de alzacristales rota o trabada,1,True,0.7574,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L10-0129,G-10-57-09,El boton del elevalunas en la consola se siente suelto y no hace contacto.,Elevalunas electrico o guaya de alzacristales rota o trabada,Falla en compresor de aire acondicionado o fuga de gas R134a,0,True,0.4348,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L10-0162,G-10-58-02,Prendi el limpiaparabrisas bajo la lluvia y se quedo congelado a la mitad.,Limpiaparabrisas o motor pluma quemado,Limpiaparabrisas o motor pluma quemado,1,True,0.8359,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L10-0169,G-10-58-09,Le doy a la palanca del volante y no hace nada el limpia parabrisas.,Limpiaparabrisas o motor pluma quemado,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0,True,0.8366,CARROCERIA_NEUMATICA,ELECTRICO,0
F10-L11-0002,G-11-59-02,Se escucha un siseo fuerte de aire por debajo del chasis del tracto.,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),Falla en compresor de aire acondicionado o fuga de gas R134a,0,False,0.6006,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L11-0009,G-11-59-09,El manometro del circuito primario de frenos no levanta mas de 60 libras.,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),Fugas de aire o fallos en el sistema de frenos neumático (Camiones),1,True,0.8638,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L11-0042,G-11-60-02,La valvula del secador de aire no para de estornudar seguido.,Válvula de freno de aire o secador APS obstruido (Camiones),Válvula de freno de aire o secador APS obstruido (Camiones),1,True,0.9998,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L11-0049,G-11-60-09,El calentador electrico del secador de aire no funciona.,Válvula de freno de aire o secador APS obstruido (Camiones),Válvula de freno de aire o secador APS obstruido (Camiones),1,True,0.9792,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L11-0082,G-11-61-02,Empujo la perilla amarilla del freno de mano pero el camion no suelta las ruedas traseras.,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),Desgaste de pastillas y zapatas de freno,0,True,0.363,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
F10-L11-0089,G-11-61-09,Se rompio el resorte grandote que lleva la camara de freno de atras.,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),1,True,0.972,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA,1
