ID_C1,CLASE_EXACTA,MACRO,COBERTURA_RAG_ACTUAL,CADENA_ACTUAL,FUENTES_EXTERNAS_DISPONIBLES,DESCRIPCION,SINTOMAS,CAUSAS,PREGUNTAS_DISCRIMINANTES,PRUEBA,HERRAMIENTA,PRECONDICIONES,RESULTADOS,INTERPRETACION,REFUERZA,DEBILITA,DESCARTA,SIGUIENTE_ACCION,DTC,SEGURIDAD,VEHICLE_SCOPE,ESTADO_DOCUMENTAL,ACCION_FUTURA,ESTADO_RAG_ACTUAL,CONTENIDO_CONSERVAR,CONTENIDO_CORREGIR,CONTENIDO_AGREGAR_RESPALDADO,CONTENIDO_PENDIENTE,FUENTES,RIESGO,PRIORIDAD
32,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,n=5 (-3 chunks misclass a VVT),PARCIAL,"dtc_codes.db (P0615), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=5 (-3 chunks misclass a VVT) chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0615), manual_procedimientos.txt",Medio,P1
33,Falla en regulador de presion de combustible o diafragma roto,MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0089, P0090), obdex (P0001, P0089), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0089, P0090), obdex (P0001, P0089), manual_procedimientos.txt",Alto,P2
34,Falla en sensor de oxigeno o mezcla rica,MOTOR,n=15,COMPLETA,"dtc_codes.db (P0130-P0167, P0171, P0172), obdex, manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=15 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0130-P0167, P0171, P0172), obdex, manual_procedimientos.txt",Alto,P3
35,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,n=3,PARCIAL,"dtc_codes.db (P0335, P0340), obdex (P0335), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=3 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0335, P0340), obdex (P0335), manual_procedimientos.txt",Alto,P3
36,Falla en sensor de velocidad de rueda ABS,FRENOS,n=10,COMPLETA,"dtc_codes.db (C0035-C0050), zenodo (ABS Wheel Speed), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=10 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (C0035-C0050), zenodo (ABS Wheel Speed), manual_procedimientos.txt",Alto,P3
37,Falla en servofreno (booster) o linea de vacio,FRENOS,n=1,INSUFICIENTE,manual_procedimientos.txt (vacuómetro y válvula check),VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (vacuómetro y válvula check),Alto,P2
38,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0178, P0179), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Motores Flex / Bi-combustible,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0178, P0179), manual_procedimientos.txt",Alto,P2
39,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),MOTOR,"n=1 (+3 chunks misclass: PROC_075, 109, 154)",INSUFICIENTE,"dtc_codes.db (P0440-P0457), obdex (P0440), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Híbridos / EV (Tracción Alta Tensión),PARCIAL,CORREGIR_METADATA,"n=1 (+3 chunks misclass: PROC_075, 109, 154) chunks en metadatos_manuales.json. Cadena insuficiente.",Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0440-P0457), obdex (P0440), manual_procedimientos.txt",Alto,P1
40,Falla en sistema de frenado regenerativo (EV / Hibridos),FRENOS,n=1,INSUFICIENTE,"dtc_codes.db (C1200-C1300), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,VERIFICADO,Híbridos / EV (Tracción Alta Tensión),PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (C1200-C1300), manual_procedimientos.txt",Crítico (P0),P0
41,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,"n=1 (+3 chunks misclass: PROC_047, 067, 142)",INSUFICIENTE,"dtc_codes.db (P0011-P0014), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,CORREGIR_METADATA,"n=1 (+3 chunks misclass: PROC_047, 067, 142) chunks en metadatos_manuales.json. Cadena insuficiente.",Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0011-P0014), manual_procedimientos.txt",Alto,P1
42,Falla en termostato o motoventilador de radiador,MOTOR,n=4,PARCIAL,"dtc_codes.db (P0128, P0480, P0597), zenodo, manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=4 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0128, P0480, P0597), zenodo, manual_procedimientos.txt",Alto,P3
43,Fallo en inversor de corriente IGBT o motor electrico (EV),ELECTRICO,n=1,INSUFICIENTE,"dtc_codes.db (P0A0F, P0A1B), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,VERIFICADO,Híbridos / EV (Tracción Alta Tensión),PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0A0F, P0A1B), manual_procedimientos.txt",Crítico (P0),P0
44,Falta o degradacion de aceite de caja de cambios,TRANSMISION,n=5,COMPLETA,manual_procedimientos.txt (inspección de fluido ATF/MTF y tapón magnético),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=5 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (inspección de fluido ATF/MTF y tapón magnético),Medio,P3
45,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),ELECTRICO,n=1,INSUFICIENTE,"dtc_codes.db (P0A01), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,VERIFICADO,Híbridos / EV (Tracción Alta Tensión),PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0A01), manual_procedimientos.txt",Crítico (P0),P0
46,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,n=4,PARCIAL,"dtc_codes.db (P0299), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=4 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0299), manual_procedimientos.txt",Alto,P3
47,Fuga en mangueras de refrigerante o radiador picado,MOTOR,n=1,INSUFICIENTE,manual_procedimientos.txt (bomba presurizadora a 1.2 bar),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (bomba presurizadora a 1.2 bar),Alto,P2
48,Fuga hidraulica o aire en el sistema de frenos,FRENOS,n=1,INSUFICIENTE,manual_procedimientos.txt (inspección de racores y caída de pedal),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (inspección de racores y caída de pedal),Alto,P2
49,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,n=1,INSUFICIENTE,"dtc_codes.db (P0087, P0093), obdex (P0087), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,VERIFICADO,Diésel / Camiones Comerciales,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0087, P0093), obdex (P0087), manual_procedimientos.txt",Crítico (P0),P0
50,Fuga parasita de corriente en reposo (consumo nocturno de bateria),ELECTRICO,n=1,INSUFICIENTE,manual_procedimientos.txt (amperímetro en serie < 50 mA),VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (amperímetro en serie < 50 mA),Medio,P2
51,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,n=3,PARCIAL,manual_procedimientos.txt (agua jabonosa y detector ultrasónico 120 PSI),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,VERIFICADO,Diésel / Camiones Comerciales,PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=3 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (agua jabonosa y detector ultrasónico 120 PSI),Crítico (P0),P0
52,Inyectores sucios o filtro de combustible obstruido,MOTOR,n=5,COMPLETA,"dtc_codes.db (P0171, P0200), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=5 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0171, P0200), manual_procedimientos.txt",Alto,P3
53,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,n=2,PARCIAL,manual_procedimientos.txt (inspección de fuelles y prueba en viraje),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=2 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (inspección de fuelles y prueba en viraje),Medio,P3
54,Limpiaparabrisas o motor pluma quemado,CARROCERIA_NEUMATICA,n=1,INSUFICIENTE,manual_procedimientos.txt (multímetro en conector de motor y varillaje),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (multímetro en conector de motor y varillaje),Medio,P2
55,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,n=1,INSUFICIENTE,manual_procedimientos.txt (equilibradora dinámica y alineador láser),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (equilibradora dinámica y alineador láser),Medio,P2
56,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,MOTOR,n=1,INSUFICIENTE,manual_procedimientos.txt (compresímetro y prueba de estanqueidad cilindros),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (compresímetro y prueba de estanqueidad cilindros),Alto,P2
57,Rodajes de caja mecanica o diferencial gastados,TRANSMISION,n=7,COMPLETA,manual_procedimientos.txt (estetoscopio acústico en diferencial),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=7 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (estetoscopio acústico en diferencial),Medio,P3
58,Rodajes de transmision manual o eje primario gastados,TRANSMISION,n=1,INSUFICIENTE,manual_procedimientos.txt (estetoscopio en eje primario),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (estetoscopio en eje primario),Medio,P2
59,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,n=1,INSUFICIENTE,manual_procedimientos.txt (holgura axial y rugosidad táctil en muelle),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (holgura axial y rugosidad táctil en muelle),Medio,P2
60,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,"n=2 (+2 chunks misclass: PROC_061, 114)",PARCIAL,"dtc_codes.db (P0700, P0841, P17BF), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Transmisión Automática / Robotizada,PARCIAL,CORREGIR_METADATA,"n=2 (+2 chunks misclass: PROC_061, 114) chunks en metadatos_manuales.json. Cadena parcial.",Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Atributos sistema/falla si es uno de los 10 chunks mal mapeados; eliminar stubs.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0700, P0841, P17BF), manual_procedimientos.txt",Medio,P1
61,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,n=1,INSUFICIENTE,manual_procedimientos.txt (válvula de purga y regeneración APS),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,VERIFICADO,Diésel / Camiones Comerciales,PARCIAL,BLOQUEADO_REQUIERE_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (válvula de purga y regeneración APS),Crítico (P0),P0
