sintoma_fuente_ingles,categoria_fuente,subcategoria_fuente,codigo_canonico_propuesto,decision,traduccion_espanol_validada,validado_por_mecanico,observaciones_revision,doi_fuente,licencia,sintoma_es_peru_candidato,estado_traduccion
Hard starting in cold weather,Engine Components,Diesel Glow Plug,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Al motor le cuesta arrancar en frío,PENDIENTE_VALIDACION_MECANICO
Glow plug indicator light stays on,Engine Components,Diesel Glow Plug,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La luz de precalentamiento diésel permanece encendida,PENDIENTE_VALIDACION_MECANICO
Excessive engine movement,Engine Components,Engine Mounts,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se mueve demasiado,PENDIENTE_VALIDACION_MECANICO
Clunking noise when accelerating,Engine Components,Engine Mounts,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un golpe al acelerar,PENDIENTE_VALIDACION_MECANICO
Engine misfires,Engine Components,Exhaust Valve,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor falla y trabaja disparejo,PENDIENTE_VALIDACION_MECANICO
Rough idle,Engine Components,Exhaust Valve,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor trabaja inestable en mínimo,PENDIENTE_VALIDACION_MECANICO
Engine misfires,Engine Components,Fuel Injector,COMBUSTIBLE_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor falla y trabaja disparejo,PENDIENTE_VALIDACION_MECANICO
Poor fuel economy,Engine Components,Fuel Injector,COMBUSTIBLE_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo consume demasiado combustible,PENDIENTE_VALIDACION_MECANICO
Erratic idle speed,Engine Components,Idle Air Control Valve,COMBUSTIBLE_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Las revoluciones varían cuando el motor está en mínimo,PENDIENTE_VALIDACION_MECANICO
Stalling at idle,Engine Components,Idle Air Control Valve,COMBUSTIBLE_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se apaga cuando está en mínimo,PENDIENTE_VALIDACION_MECANICO
Engine misfires,Engine Components,Intake Valve,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor falla y trabaja disparejo,PENDIENTE_VALIDACION_MECANICO
Rough idle,Engine Components,Intake Valve,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor trabaja inestable en mínimo,PENDIENTE_VALIDACION_MECANICO
Low oil pressure warning light,Engine Components,Oil Pump,MOTOR_004,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se enciende la luz de baja presión de aceite,PENDIENTE_VALIDACION_MECANICO
Engine knocking noise,Engine Components,Oil Pump,MOTOR_004,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un golpeteo metálico en el motor,PENDIENTE_VALIDACION_MECANICO
Blue smoke from exhaust,Engine Components,Piston Rings,MOTOR_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Sale humo azul por el escape,PENDIENTE_VALIDACION_MECANICO
Loss of engine power,Engine Components,Piston Rings,MOTOR_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor pierde fuerza,PENDIENTE_VALIDACION_MECANICO
Engine misfires,Engine Components,Timing Belt,MOTOR_005,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor falla y trabaja disparejo,PENDIENTE_VALIDACION_MECANICO
Engine won't start,Engine Components,Timing Belt,MOTOR_005,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor no arranca,PENDIENTE_VALIDACION_MECANICO
Oil leak around valve cover,Engine Components,Valve Cover Gasket,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Hay fuga de aceite alrededor de la tapa de válvulas,PENDIENTE_VALIDACION_MECANICO
Burning oil smell from engine bay,Engine Components,Valve Cover Gasket,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se siente olor a aceite quemado en el compartimiento del motor,PENDIENTE_VALIDACION_MECANICO
Engine overheating,Engine Components,Fan Belt,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se recalienta,PENDIENTE_VALIDACION_MECANICO
Squealing noise from engine bay,Engine Components,Fan Belt,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un chillido en el compartimiento del motor,PENDIENTE_VALIDACION_MECANICO
No sound when horn button pressed,Electrical System,Horn,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El claxon no suena al presionar el botón,PENDIENTE_VALIDACION_MECANICO
Battery warning light on,Electrical System,Battery Charging,ELECTRICO_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La luz de batería permanece encendida,PENDIENTE_VALIDACION_MECANICO
Low voltage,Electrical System,Battery Charging,ELECTRICO_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El sistema eléctrico tiene bajo voltaje,PENDIENTE_VALIDACION_MECANICO
Engine performance issues,Engine Components,Engine Belt,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor presenta bajo rendimiento,PENDIENTE_VALIDACION_MECANICO
Squealing noise from engine bay,Engine Components,Engine Belt,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un chillido en el compartimiento del motor,PENDIENTE_VALIDACION_MECANICO
Noise when turning steering wheel,Steering,Steering Noise,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha ruido al girar el timón,PENDIENTE_VALIDACION_MECANICO
Uneven tire wear,Drivetrain,Shaft and Tires,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Las llantas presentan desgaste irregular,PENDIENTE_VALIDACION_MECANICO
Vibration while driving,Drivetrain,Shaft and Tires,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo vibra al circular,PENDIENTE_VALIDACION_MECANICO
Decreased engine performance,Engine Compartment,Air Filter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Disminuyó el rendimiento del motor,PENDIENTE_VALIDACION_MECANICO
Black smoke from exhaust,Engine Compartment,Air Filter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Sale humo negro por el escape,PENDIENTE_VALIDACION_MECANICO
Engine misfires,Engine Compartment,Engine Control Unit (ECU),,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor falla y trabaja disparejo,PENDIENTE_VALIDACION_MECANICO
Poor fuel economy,Engine Compartment,Engine Control Unit (ECU),,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo consume demasiado combustible,PENDIENTE_VALIDACION_MECANICO
Low oil pressure warning light,Engine Compartment,Engine Oil,MOTOR_004,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se enciende la luz de baja presión de aceite,PENDIENTE_VALIDACION_MECANICO
Loud engine noise,Engine Compartment,Engine Oil,MOTOR_004,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor hace un ruido fuerte,PENDIENTE_VALIDACION_MECANICO
Engine stalls at high speeds,Engine Compartment,Fuel Filter,COMBUSTIBLE_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se apaga al circular a alta velocidad,PENDIENTE_VALIDACION_MECANICO
Poor acceleration,Engine Compartment,Fuel Filter,COMBUSTIBLE_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo acelera con poca fuerza,PENDIENTE_VALIDACION_MECANICO
Oil leaks,Engine Compartment,PCV Valve,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Hay fugas de aceite,PENDIENTE_VALIDACION_MECANICO
Rough idle,Engine Compartment,PCV Valve,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor trabaja inestable en mínimo,PENDIENTE_VALIDACION_MECANICO
Poor acceleration,Engine Compartment,Throttle Body,COMBUSTIBLE_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo acelera con poca fuerza,PENDIENTE_VALIDACION_MECANICO
Stalling at idle,Engine Compartment,Throttle Body,COMBUSTIBLE_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se apaga cuando está en mínimo,PENDIENTE_VALIDACION_MECANICO
Engine misfires,Fuel System,Fuel Injector,COMBUSTIBLE_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor falla y trabaja disparejo,PENDIENTE_VALIDACION_MECANICO
Poor fuel economy,Fuel System,Fuel Injector,COMBUSTIBLE_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo consume demasiado combustible,PENDIENTE_VALIDACION_MECANICO
Engine stalls,Fuel System,Fuel Pressure Regulator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se apaga,PENDIENTE_VALIDACION_MECANICO
Black smoke from exhaust,Fuel System,Fuel Pressure Regulator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Sale humo negro por el escape,PENDIENTE_VALIDACION_MECANICO
Engine sputters at high speeds,Fuel System,Fuel Pump,COMBUSTIBLE_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor tironea y falla a alta velocidad,PENDIENTE_VALIDACION_MECANICO
Loss of power,Fuel System,Fuel Pump,COMBUSTIBLE_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo pierde fuerza,PENDIENTE_VALIDACION_MECANICO
Fuel odor inside vehicle,Fuel System,Fuel Tank,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se siente olor a combustible dentro del vehículo,PENDIENTE_VALIDACION_MECANICO
Visible fuel leak under vehicle,Fuel System,Fuel Tank,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se observa una fuga de combustible debajo del vehículo,PENDIENTE_VALIDACION_MECANICO
Engine hesitates on acceleration,Fuel System,Throttle Position Sensor,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se aguanta o demora en responder al acelerar,PENDIENTE_VALIDACION_MECANICO
Stalling at idle,Fuel System,Throttle Position Sensor,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se apaga cuando está en mínimo,PENDIENTE_VALIDACION_MECANICO
Soft brake pedal,Liquid Systems,Brake Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno está demasiado suave,PENDIENTE_VALIDACION_MECANICO
Brake warning light on,Liquid Systems,Brake Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La luz de advertencia de frenos permanece encendida,PENDIENTE_VALIDACION_MECANICO
Engine overheating,Liquid Systems,Coolant Reservoir,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se recalienta,PENDIENTE_VALIDACION_MECANICO
Low coolant warning light,Liquid Systems,Coolant Reservoir,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se enciende la advertencia de nivel bajo de refrigerante,PENDIENTE_VALIDACION_MECANICO
Whining noise when turning,Liquid Systems,Power Steering Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un zumbido al girar el timón,PENDIENTE_VALIDACION_MECANICO
Stiff steering wheel,Liquid Systems,Power Steering Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El timón está duro,PENDIENTE_VALIDACION_MECANICO
Engine overheating,Liquid Systems,Radiator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El motor se recalienta,PENDIENTE_VALIDACION_MECANICO
Coolant leak,Liquid Systems,Radiator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Hay fuga de refrigerante,PENDIENTE_VALIDACION_MECANICO
No washer fluid spray,Liquid Systems,Windshield Washer Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,No sale líquido del lavaparabrisas,PENDIENTE_VALIDACION_MECANICO
Weak washer fluid spray,Liquid Systems,Windshield Washer Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El líquido del lavaparabrisas sale con poca presión,PENDIENTE_VALIDACION_MECANICO
Soft clutch pedal,Transmission,Clutch Master Cylinder,EMBRAGUE_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de embrague está demasiado suave,PENDIENTE_VALIDACION_MECANICO
Clutch slipping,Transmission,Clutch Master Cylinder,EMBRAGUE_002,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El embrague patina al acelerar,PENDIENTE_VALIDACION_MECANICO
Slipping gears,Transmission,Torque Converter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Los cambios patinan,PENDIENTE_VALIDACION_MECANICO
Shuddering during acceleration,Transmission,Torque Converter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo tironea o tiembla al acelerar,PENDIENTE_VALIDACION_MECANICO
Gears slipping,Transmission,Transmission Fluid,TRANSMISION_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Los cambios patinan,PENDIENTE_VALIDACION_MECANICO
Transmission overheating,Transmission,Transmission Fluid,TRANSMISION_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La caja de cambios se recalienta,PENDIENTE_VALIDACION_MECANICO
Delayed shifting,Transmission,Transmission Filter,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La caja demora en realizar los cambios,PENDIENTE_VALIDACION_MECANICO
Transmission slipping,Transmission,Transmission Filter,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La caja automática patina,PENDIENTE_VALIDACION_MECANICO
Erratic shifting,Transmission,Transmission Solenoid,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La caja realiza cambios bruscos o erráticos,PENDIENTE_VALIDACION_MECANICO
Transmission won't shift gears,Transmission,Transmission Solenoid,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La caja no realiza los cambios,PENDIENTE_VALIDACION_MECANICO
Grinding noise from wheels,Wheels & Tires,Wheel Bearing,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un ruido de raspado en las ruedas,PENDIENTE_VALIDACION_MECANICO
Uneven tire wear,Wheels & Tires,Wheel Bearing,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Las llantas presentan desgaste irregular,PENDIENTE_VALIDACION_MECANICO
TPMS warning light on,Wheels & Tires,Tire Pressure Monitoring System (TPMS),,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La luz de presión de llantas TPMS permanece encendida,PENDIENTE_VALIDACION_MECANICO
Low tire pressure,Wheels & Tires,Tire Pressure Monitoring System (TPMS),,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Una o más llantas tienen baja presión,PENDIENTE_VALIDACION_MECANICO
Clicking or popping noise when turning,Wheels & Tires,Wheel Hub,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Se escucha un clac clac al girar,PENDIENTE_VALIDACION_MECANICO
Wheel wobbling,Wheels & Tires,Wheel Hub,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La rueda tiene juego o bambolea,PENDIENTE_VALIDACION_MECANICO
