id,texto_sintomas,categoria_falla,componente,falla
291,"El turbo silba más de lo normal y pierde potencia",Admision,Turbo,Fuga en intercooler o mangueras de turbo
292,"El auto tiene un olor a quemado eléctrico intermitente",Electrico,Cableado,Cortocircuito o relé defectuoso
293,"Se siente un golpeteo en la dirección al pasar desniveles",Direccion,Caja de direccion,Caja de direccion o terminales
294,"El motor pierde potencia y el Check Engine muestra código de EGR",Emisiones,Valvula EGR,Valvula EGR tapada o fallando
295,"Al acelerar se escucha un silbido que viene del vano motor",Admision,Mangueras de vacio,Fuga de vacio o manguera rota
296,"La caja automática cambia de forma brusca o se retrasa",Transmision,Fluido de transmision,Fluido de transmision o solenoides
297,"El auto vibra en ralentí solo con el aire acondicionado encendido",Sensores,Valvula IAC,Regulacion de ralenti con carga
298,"Se enciende el testigo de presión de aceite en caliente al ralentí",Motor,Bomba de aceite,Presion de aceite baja en caliente
299,"El volante vibra solo en un rango de velocidad y en recta",Ruedas,Llantas,Llantas desbalanceadas o problema de alineacion
300,"El motor tiene un ruido de cascabeleo al acelerar con gasolina de bajo octanaje",Motor,Sensor de detonacion,Sensor de detonacion o carbonilla
