id,estado,motivos,similitud_maxima,origen_similitud,recomendacion
F10-L01-0183,APROBADO,Sin observaciones técnicas.,0.5868,LOTE_01 (F10-L01-0023),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0184,APROBADO,Sin observaciones técnicas.,0.5689,LOTE_01 (F10-L01-0064),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0185,APROBADO,Sin observaciones técnicas.,0.65,LOTE_01 (F10-L01-0025),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0186,APROBADO,Sin observaciones técnicas.,0.7693,LOTE_01 (F10-L01-0106),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0187,APROBADO,Sin observaciones técnicas.,0.7236,LOTE_01 (F10-L01-0067),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0188,APROBADO,Sin observaciones técnicas.,0.6141,LOTE_01 (F10-L01-0028),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0189,APROBADO,Sin observaciones técnicas.,0.7343,LOTE_01 (F10-L01-0069),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0190,APROBADO,Sin observaciones técnicas.,0.6892,LOTE_01 (F10-L01-0030),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0191,APROBADO,Sin observaciones técnicas.,0.6807,LOTE_01 (F10-L01-0111),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0192,APROBADO,Sin observaciones técnicas.,0.6916,LOTE_01 (F10-L01-0072),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0193,APROBADO,Sin observaciones técnicas.,0.7447,LOTE_01 (F10-L01-0073),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0194,APROBADO,Sin observaciones técnicas.,0.6742,LOTE_01 (F10-L01-0074),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0195,APROBADO,Sin observaciones técnicas.,0.6747,LOTE_01 (F10-L01-0035),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0196,APROBADO,Sin observaciones técnicas.,0.6551,LOTE_01 (F10-L01-0116),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0197,APROBADO,Sin observaciones técnicas.,0.7113,LOTE_01 (F10-L01-0077),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0198,APROBADO,Sin observaciones técnicas.,0.6554,LOTE_01 (F10-L01-0038),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0199,APROBADO,Sin observaciones técnicas.,0.7103,LOTE_01 (F10-L01-0079),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0200,APROBADO,Sin observaciones técnicas.,0.7055,LOTE_01 (F10-L01-0040),Aprobado para preselección en corpus maestro Fase 10.
