id,clase_objetivo,macro_sistema,nivel_informacion,criterios_evaluados,es_contrastivo,clase_contrastiva,dtc,texto_resumen,coherencia_tecnica,evaluacion_metrologica,evaluacion_negaciones,sesgo_marcas,dictamen
F10-L05-0146,Falla en regulador de presion de combustible o diafragma roto,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Inyectores sucios o filtro de combustible obstruido,P0172,"Vehículo ingresa con queja de dificultad extrema de arranque en caliente tras 10 a 30 minutos de estar apagado, requirie...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L05-0147,Falla en regulador de presion de combustible o diafragma roto,MOTOR,L3,DTC | METROLOGIA | NEGACION | CLIMATIZACION,NO,,P0172,DTC P0172 permanente con correcciones de combustible a corto plazo STFT en -25% y largo plazo LTFT en -24.2%. Se midió l...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L05-0161,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El motor tiembla muy fuerte en ralentí como si estuviera trabajando en 3 cilindros.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0186,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),MOTOR,L3,CONTRASTIVO | DTC | CLIMATIZACION | EV_HIBRIDO,SI,Falla en bujias o bobinas de encendido (misfire),P0201,Vehículo ingresa con marcha en 3 cilindros y vibración severa en ralentí con DTC P0201 (Injector Circuit Open - Cylinder...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0201,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,MOTOR,L1,BASE_ESTRATIFICADA,NO,,,El motor tiembla en ralentí y suena desparejo cuando gira en el arranque.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L05-0226,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Falla en bujias o bobinas de encendido (misfire),P0303,Vehículo ingresa con fallo de encendido permanente en el cilindro 3 acompañado de DTC P0303. Se realizaron pruebas de en...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L06-0001,Desgaste de pastillas y zapatas de freno,FRENOS,L1,BASE_ESTRATIFICADA,NO,,,Suena un chillido agudo cada vez que piso el pedal del freno.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0026,Desgaste de pastillas y zapatas de freno,FRENOS,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Discos de freno alabeados o desgastados,,Vehículo ingresa por chirrido estridente al frenar a velocidades urbanas. Se desmontan ruedas delanteras constatándose q...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L06-0041,Discos de freno alabeados o desgastados,FRENOS,L1,BASE_ESTRATIFICADA,NO,,,El volante me vibra bastante fuerte únicamente cuando piso el pedal del freno a velocidad.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0066,Discos de freno alabeados o desgastados,FRENOS,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Llantas desbalanceadas o desalineadas,,Toyota Hilux ingresa por vibración violenta en el volante y pedal al descender cuestas a 80 km/h aplicando frenos. Se mo...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L06-0081,Falla en servofreno (booster) o linea de vacio,FRENOS,L1,BASE_ESTRATIFICADA,NO,,,El pedal de freno se puso durísimo como una piedra y tengo que pararme con fuerza.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0106,Falla en servofreno (booster) o linea de vacio,FRENOS,L3,CONTRASTIVO | DTC | CLIMATIZACION,SI,Falla en sensor de oxigeno o mezcla rica,P0171,En un Toyota Yaris el cliente reclama que el pedal de freno se puso durísimo y el motor ratea cada vez que frena en los ...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0121,Fuga hidraulica o aire en el sistema de frenos,FRENOS,L1,BASE_ESTRATIFICADA,NO,,,El pedal del freno se siente esponjoso y se va hasta el fondo.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0146,Fuga hidraulica o aire en el sistema de frenos,FRENOS,L3,CONTRASTIVO | METROLOGIA | NEGACION | CLIMATIZACION,SI,Falla en servofreno (booster) o linea de vacio,,Vehículo ingresa con pedal de frenos esponjoso que desciende progresivamente hasta el tope al mantener 15 bar de presión...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L06-0161,Falla en sensor de velocidad de rueda ABS,FRENOS,L1,BASE_ESTRATIFICADA,NO,,,Se prendió la luz amarilla del ABS en el tablero y no se apaga.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0186,Falla en sensor de velocidad de rueda ABS,FRENOS,L3,DTC | CLIMATIZACION,NO,,C0035,En un Ford Focus con testigo ABS y ESP encendidos se registra DTC C0035 (Left Front Wheel Speed Sensor Circuit). Se cone...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0201,Falla en sistema de frenado regenerativo (EV / Hibridos),FRENOS,L1,EV_HIBRIDO,NO,,,En mi auto híbrido el indicador de carga ya no regenera energía al levantar el pie.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0226,Falla en sistema de frenado regenerativo (EV / Hibridos),FRENOS,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Fuga hidraulica o aire en el sistema de frenos,C1391,"En un Toyota Prius 2018 con 145,000 km se encienden simultáneamente los testigos de ABS, VSC y el símbolo de exclamación...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L06-0241,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,L1,BASE_ESTRATIFICADA,NO,,,Una sola de las ruedas delanteras se calienta tanto que quema al tocar el aro.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L06-0266,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,L3,CONTRASTIVO | METROLOGIA | EV_HIBRIDO,SI,Discos de freno alabeados o desgastados,,Vehículo ingresa con humo blanco y fuerte olor a quemado en la rueda delantera derecha tras circular 20 km en autopista....,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L07-0001,Disco de embrague desgastado o patinando,TRANSMISION,L1,CLIMATIZACION,NO,,,Acelero y el motor ruge fuerte pero el carro casi no avanza.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0026,Disco de embrague desgastado o patinando,TRANSMISION,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Falla en bombin o bomba hidraulica de embrague,,"Toyota Yaris con 135,000 km presenta patinamiento evidente en tercera y cuarta marcha. Al circular a 50 km/h en 4ta marc...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L07-0041,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L1,BASE_ESTRATIFICADA,NO,,,El pedal de embrague se fue hasta el fondo y se quedó pegado al piso.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0066,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Fuga hidraulica o aire en el sistema de frenos,,En un Hyundai Accent mecánico el pedal de embrague se va al piso tras permanecer 20 segundos detenido en un semáforo con...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L07-0081,Falta o degradacion de aceite de caja de cambios,TRANSMISION,L1,BASE_ESTRATIFICADA,NO,,,Los cambios están durísimos para entrar especialmente en las mañanas frías.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0106,Falta o degradacion de aceite de caja de cambios,TRANSMISION,L3,CONTRASTIVO | CLIMATIZACION | EV_HIBRIDO,SI,Rodajes de caja mecanica o diferencial gastados,,"En un Volkswagen Gol con 115,000 km la transmisión manual presenta dificultad progresiva para insertar la segunda y terc...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0121,Rodajes de caja mecanica o diferencial gastados,TRANSMISION,L1,CLIMATIZACION,NO,,,La transmisión zumba como una turbina cada vez que acelero en pista.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0146,Rodajes de caja mecanica o diferencial gastados,TRANSMISION,L3,CONTRASTIVO | METROLOGIA | EV_HIBRIDO,SI,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),,En un Toyota Corolla con caja mecánica de 5 velocidades se presenta un zumbido continuo que inicia a los 50 km/h y se vu...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L07-0161,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,L1,BASE_ESTRATIFICADA,NO,,,Aparece un mensaje en la pantalla de temperatura de transmisión alta.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0186,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),P17BF,Volkswagen Golf 1.4 TSI con transmisión DSG DQ200 de 7 velocidades presenta pérdida repentina de tracción y mensaje en c...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L07-0201,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),TRANSMISION,L1,BASE_ESTRATIFICADA,NO,,,La caja robotizada se salta a neutro sola cuando me detengo en el semáforo.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0226,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),TRANSMISION,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,P0845,En un Fiat Grand Siena 1.6 con transmisión robotizada Dualogic Plus se activa alarma sonora continua con mensaje en pant...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L07-0241,Desgaste en collarin de empuje o crapodina de embrague,TRANSMISION,L1,BASE_ESTRATIFICADA,NO,,,Suena un chillido metálico fuerte cada vez que piso el pedal del embrague.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0266,Desgaste en collarin de empuje o crapodina de embrague,TRANSMISION,L3,CONTRASTIVO | CLIMATIZACION | EV_HIBRIDO,SI,Rodajes de transmision manual o eje primario gastados,,Toyota Hilux 1GD con transmisión manual de 6 marchas ingresa por ruido estridente en la zona de la campana. En ralentí c...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0281,Rodajes de transmision manual o eje primario gastados,TRANSMISION,L1,BASE_ESTRATIFICADA,NO,,,La caja zumba feo en neutro y el ruido se apaga cuando piso el embrague.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L07-0306,Rodajes de transmision manual o eje primario gastados,TRANSMISION,L3,CONTRASTIVO | METROLOGIA | EV_HIBRIDO,SI,Desgaste en collarin de empuje o crapodina de embrague,,En un Toyota Yaris con transmisión manual de 5 velocidades se manifiesta un ruido áspero de rodadura en neutro con el mo...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L08-0001,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L1,CLIMATIZACION,NO,,,Cada vez que paso por un bache o rompemuelles se siente un golpe seco en la parte de adelante.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L08-0026,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,L3,CONTRASTIVO | CLIMATIZACION | EV_HIBRIDO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),,Evaluación de suspensión en banco dinamométrico de vibraciones (método Eusama): el amortiguador delantero izquierdo regi...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L08-0041,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L1,CLIMATIZACION,NO,,,Cuando doblo cerrado hacia la derecha con el acelerador pisado suena un trac trac trac rápido.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L08-0066,Juntas homocineticas o palieres danados,SUSPENSION_CHASIS,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),,Inspección técnica de semieje delantero derecho en vehículo de tracción delantera: guardapolvo exterior de termoplástico...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L08-0081,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L1,BASE_ESTRATIFICADA,NO,,,El volante empieza a temblar fuerte cuando voy a más de 80 km/h en la carretera.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L08-0106,Llantas desbalanceadas o desalineadas,SUSPENSION_CHASIS,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Discos de freno alabeados o desgastados,,Diagnóstico de vibración en banco de balanceo dinámico computarizado: rueda delantera derecha registra desbalance dinámi...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L08-0121,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,L1,BASE_ESTRATIFICADA,NO,,,El timón tiene un juego muerto en el centro y se escucha un golpecito al moverlo.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L08-0146,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Fuga hidraulica o aire en el sistema de frenos,,Diagnóstico de cremallera de dirección hidráulica en banco de presión: manómetro colocado en la línea de alta presión ac...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L08-0161,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,L1,BASE_ESTRATIFICADA,NO,,,Se escucha un zumbido grave como un avión bimotor que aumenta con la velocidad del carro.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L08-0186,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),SUSPENSION_CHASIS,L3,CONTRASTIVO | CLIMATIZACION,SI,Rodajes de caja mecanica o diferencial gastados,,Análisis acústico con sonómetro integrador de precisión y FFT: en línea recta sobre asfalto liso a 80 km/h el habitáculo...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L09-0001,Alternador defectuoso o placa de diodos quemada,ELECTRICO,L1,BASE_ESTRATIFICADA,NO,,,Se encendió un testigo rojo con forma de batería mientras iba manejando en la pista.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L09-0026,Alternador defectuoso o placa de diodos quemada,ELECTRICO,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Bateria descargada o bornes sulfatados,,Diagnóstico de sistema de carga con osciloscopio automotriz en bornes de batería con motor a 2000 rpm: se observa señal ...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L09-0041,Bateria descargada o bornes sulfatados,ELECTRICO,L1,CLIMATIZACION,NO,,,Al girar la llave para encender el carro solo hace un tic-tic-tic rápido y el tablero se apaga.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L09-0066,Bateria descargada o bornes sulfatados,ELECTRICO,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Alternador defectuoso o placa de diodos quemada,,Evaluación de batería plomo-ácido de 12 V 60 Ah con probador de descarga con resistencia de carbón (carbon pile load tes...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L09-0081,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),ELECTRICO,L1,EV_HIBRIDO,NO,,,En la pantalla del híbrido sale un mensaje de revisar sistema híbrido y bajó la autonomía.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L09-0106,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),ELECTRICO,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),P0A80,Diagnóstico de batería de tracción NiMH de 201.6 V nominales (28 módulos de 7.2 V en serie) con software Techstream en v...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L09-0121,Fallo en inversor de corriente IGBT o motor electrico (EV),ELECTRICO,L1,NEGACION | CLIMATIZACION,NO,,,El carro electrico perdio fuerza de golpe y no quiere acelerar.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L09-0146,Fallo en inversor de corriente IGBT o motor electrico (EV),ELECTRICO,L3,CONTRASTIVO | DTC | EV_HIBRIDO,SI,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),P0AA6,Inspeccion tecnica en taller EV: medicion de aislamiento con megohmetro a 500V DC entre devanados de fase del motor elec...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L09-0161,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),ELECTRICO,L1,NEGACION | EV_HIBRIDO,NO,,,El ventilador del carro hibrido suena fuertisimo atras todo el tiempo.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L09-0186,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),ELECTRICO,L3,CONTRASTIVO | DTC | METROLOGIA | EV_HIBRIDO,SI,Fallo en inversor de corriente IGBT o motor electrico (EV),P0A93,Diagnostico de sistema termico en taller especializado: escaneo OBD arroja DTC P0A93 (Inverter Cooling System Performanc...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L09-0201,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,L1,NEGACION | CLIMATIZACION,NO,,,Giro la llave para encender el auto y no hace nada de nada.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L09-0226,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,L3,CONTRASTIVO | CLIMATIZACION,SI,Bateria descargada o bornes sulfatados,,"Diagnostico de condicion NO-CRANK en taller automotriz: bateria en reposo marca 12.65V. Al accionar llave a START, se mi...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L09-0241,Fuga parasita de corriente en reposo (consumo nocturno de bateria),ELECTRICO,L1,NEGACION,NO,,,Si dejo el carro parado dos dias amanece sin nada de bateria.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L09-0266,Fuga parasita de corriente en reposo (consumo nocturno de bateria),ELECTRICO,L3,CLIMATIZACION,NO,,,Diagnostico de consumo parasito en reposo en taller: medicion con pinza amperimetrica DC de baja corriente en borne nega...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L10-0001,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION,NO,,,Prendo el aire del auto pero solo bota aire tibio por las rejillas.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0002,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION | CLIMATIZACION,NO,,,El aire acondicionado no esta enfriando casi nada estos dias de calor.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0003,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION | CLIMATIZACION,NO,,,Siento un silbido como de gas escapando por el tablero al encender el AC.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0004,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION | CLIMATIZACION,NO,,,Al presionar el boton de aire acondicionado no se siente que acople nada.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0005,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION,NO,,,El aire enfriaba bien la semana pasada y de repente dejo de helar por completo.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0006,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION | CLIMATIZACION,NO,,,Sale aire por las ventilas pero no enfria el habitaculo.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0007,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION | CLIMATIZACION,NO,,,Se escucha un chillido constante adelante cuando activo el interruptor del AC.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0008,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION,NO,,,El enfriamiento del coche se corta a los pocos minutos de prenderlo.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0009,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION,NO,,,Noto manchas verdes fosforescentes en unas mangueras del sistema de aire.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0010,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L1,NEGACION,NO,,,El auto no enfria adentro cuando estoy en el trafico.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0011,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L2,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,,Al encender el boton A/C el ventilador del habitaculo sopla con fuerza pero el aire sale a 28°C; el motor termico no pre...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L10-0012,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L2,CONTRASTIVO | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,,"El sistema de aire acondicionado enfria algo cuando voy a 90 km/h en autopista, pero al detenerme en un semaforo sale ai...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L10-0013,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L2,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,,Se observa fuga de refrigerante con aceite en la union del condensador frontal; la aguja de temperatura del refrigerante...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L10-0014,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L2,BASE_ESTRATIFICADA,NO,,,Al oprimir el boton A/C la luz testigo verde enciende pero el embrague electromagnetico del compresor no pega; al apagar...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L10-0015,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L2,CONTRASTIVO | CLIMATIZACION,SI,Alternador defectuoso o placa de diodos quemada,,El compresor de climatizacion acopla y desacopla ciclicamente cada 4 segundos; el aire dentro del habitaculo no llega a ...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L10-0026,Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMATIZACION,L3,CONTRASTIVO | METROLOGIA | EV_HIBRIDO,SI,Falla en termostato o motoventilador de radiador,,Conexion de manometros manifold en tomas de servicio R134a a 1500 rpm: linea de baja marca 12 psi (nominal 28-35 psi) y ...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L10-0041,Falla electrica del cierre centralizado o actuador de puerta,CARROCERIA_NEUMATICA,L1,NEGACION,NO,,,Una de las puertas no echa seguro cuando aprieto el control.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0066,Falla electrica del cierre centralizado o actuador de puerta,CARROCERIA_NEUMATICA,L3,CONTRASTIVO | CLIMATIZACION,SI,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",,"Diagnostico de sistema de cierre centralizado con osciloscopio automotriz: al pulsar el comando de bloqueo en la llave, ...",CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L10-0081,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",CARROCERIA_NEUMATICA,L1,NEGACION,NO,,,La puerta del chofer rebota cuando la intento cerrar suave.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0106,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",CARROCERIA_NEUMATICA,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION | EV_HIBRIDO,SI,Falla electrica del cierre centralizado o actuador de puerta,,Evaluacion metrologica de alineacion de carroceria y cerradura: el perno cerradero (striker) del pilar B presenta un des...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L10-0121,Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_NEUMATICA,L1,NEGACION,NO,,,El vidrio de la ventana del conductor no quiere subir.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0146,Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_NEUMATICA,L3,CONTRASTIVO | CLIMATIZACION,SI,Bateria descargada o bornes sulfatados,,Diagnostico de consumo de corriente en motor alzacristales: pinza amperimetrica acopla en cable de alimentacion registra...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L10-0161,Limpiaparabrisas o motor pluma quemado,CARROCERIA_NEUMATICA,L1,NEGACION | EV_HIBRIDO,NO,,,Las plumillas del limpiaparabrisas no se mueven para nada.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L10-0186,Limpiaparabrisas o motor pluma quemado,CARROCERIA_NEUMATICA,L3,CONTRASTIVO | CLIMATIZACION,SI,Alternador defectuoso o placa de diodos quemada,,Diagnostico de motor de limpiaparabrisas con pinza amperimetrica: en velocidad baja (Low) el consumo de corriente se dis...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L11-0001,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,NEGACION | CAMION_NEUMATICO,NO,,,El camion pierde aire de los tanques muy rapido al frenar.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L11-0026,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L3,CONTRASTIVO | METROLOGIA | CAMION_NEUMATICO | CLIMATIZACION,SI,Válvula de freno de aire o secador APS obstruido (Camiones),,Auditoria de presion segun estandar DOT en camion Freightliner: presion inicial de 125 psi con motor apagado. Al aplicar...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L11-0041,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L1,NEGACION | CAMION_NEUMATICO | CLIMATIZACION,NO,,,El secador de aire de mi camion escupe agua con aceite cada rato.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L11-0066,Válvula de freno de aire o secador APS obstruido (Camiones),CARROCERIA_NEUMATICA,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),,Diagnostico de unidad secadora de aire Bendix AD-IS con manometros patron: el gobernador interno corta la carga a 130 ps...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L11-0081,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),CARROCERIA_NEUMATICA,L1,NEGACION | CAMION_NEUMATICO,NO,,,Una rueda del camion se quedo totalmente amarrada y no avanza.,CONFORME,N/A,VALIDA,AUSENTE,APROBADO
F10-L11-0106,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),CARROCERIA_NEUMATICA,L3,CONTRASTIVO | METROLOGIA | CAMION_NEUMATICO | CLIMATIZACION | EV_HIBRIDO,SI,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),,Diagnostico metrologico de camara combinada resorte-servicio Tipo 30/30 (T30/30) en tractocamion Volvo FH: con manometro...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10L01_0001,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Mi carro tiembla.,CONFORME,N/A,N/A,AUSENTE,APROBADO
