sintoma_fuente_ingles,categoria_fuente,subcategoria_fuente,codigo_canonico_propuesto,decision,traduccion_espanol_validada,validado_por_mecanico,observaciones_revision,doi_fuente,licencia
Whining noise when turning,Liquid Systems,Power Steering Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Stiff steering wheel,Liquid Systems,Power Steering Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Engine overheating,Liquid Systems,Radiator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Coolant leak,Liquid Systems,Radiator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
No washer fluid spray,Liquid Systems,Windshield Washer Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Weak washer fluid spray,Liquid Systems,Windshield Washer Fluid,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Soft clutch pedal,Transmission,Clutch Master Cylinder,EMBRAGUE_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Clutch slipping,Transmission,Clutch Master Cylinder,EMBRAGUE_002,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Slipping gears,Transmission,Torque Converter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Shuddering during acceleration,Transmission,Torque Converter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Gears slipping,Transmission,Transmission Fluid,TRANSMISION_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Transmission overheating,Transmission,Transmission Fluid,TRANSMISION_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Delayed shifting,Transmission,Transmission Filter,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Transmission slipping,Transmission,Transmission Filter,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Erratic shifting,Transmission,Transmission Solenoid,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Transmission won't shift gears,Transmission,Transmission Solenoid,TRANSMISION_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Grinding noise from wheels,Wheels & Tires,Wheel Bearing,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Uneven tire wear,Wheels & Tires,Wheel Bearing,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
TPMS warning light on,Wheels & Tires,Tire Pressure Monitoring System (TPMS),,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Low tire pressure,Wheels & Tires,Tire Pressure Monitoring System (TPMS),,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Clicking or popping noise when turning,Wheels & Tires,Wheel Hub,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Wheel wobbling,Wheels & Tires,Wheel Hub,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
